state,Female_Victims,Male_Victims,Asian_Victims,Black_Victims,Hispanic_Victims,NativeAmerican_Victims,Other_Victims,White_Victims,Total_Shooting_Victims,Male_Population,Female_Population,Asian_Population,Black_Population,Hispanic_Population,NativeAmerican_Population,Other_Population,White_Population,Total_Population
SD,0.0,1.0,0.05263157894736842,0.0,0.0,0.21052631578947367,0.15789473684210525,0.5789473684210527,19.0,0.504,0.496,0.012664516902337643,0.018884598480800565,0.03645520797272788,0.09002971634791333,0.0007008286412286642,0.8412651316549917,842174.4850000001
TN,0.055900621118012424,0.9440993788819876,0.006211180124223602,0.21739130434782608,0.024844720496894408,0.0,0.09316770186335403,0.6583850931677019,161.0,0.484,0.516,0.017421203904102168,0.17254453975044606,0.0507972378669993,0.004556053193428769,0.0009464107182247946,0.7537345545667989,6484644.438
TX,0.06170598911070781,0.9382940108892922,0.010889292196007259,0.20689655172413793,0.30127041742286753,0.0018148820326678765,0.11796733212341198,0.36116152450090744,551.0,0.491,0.509,0.04525016382831099,0.12439234620347848,0.38508987799934835,0.010082510244654976,0.0012538460813092769,0.4339312556428978,27037918.374
UT,0.0,1.0,0.013333333333333334,0.09333333333333334,0.17333333333333334,0.02666666666666667,0.05333333333333334,0.64,75.0,0.5,0.5,0.024047893571508005,0.013448025980380326,0.13681033588398067,0.015112701545235932,0.009916868703450855,0.8006641743154442,2915837.838
VA,0.05504587155963303,0.944954128440367,0.009174311926605505,0.41284403669724773,0.045871559633027525,0.009174311926605505,0.05504587155963303,0.46788990825688076,109.0,0.484,0.516,0.06414286268538746,0.1995098771395404,0.0897237026669497,0.00565649002280618,0.0011023526320442724,0.639864714853272,8216180.319
VT,0.0,1.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.8888888888888888,9.0,0.494,0.506,0.015650649505516003,0.012532435098284582,0.017967120701925406,0.004013247572182062,0.0001412501411054923,0.9496952969809864,617011.773
WA,0.03428571428571429,0.9657142857142857,0.05142857142857143,0.14285714285714285,0.13714285714285715,0.04,0.17142857142857143,0.45714285714285713,175.0,0.497,0.503,0.08396733650287623,0.04167561898974509,0.12485444689637662,0.019483489670622547,0.007068989113379469,0.7229501188270001,6875752.561
WI,0.009900990099009901,0.9900990099009901,0.019801980198019802,0.22772277227722773,0.0594059405940594,0.039603960396039604,0.0297029702970297,0.6237623762376238,101.0,0.493,0.507,0.02678870315539869,0.0664299085703635,0.06519551667668701,0.01124198776120279,0.0004628792531875046,0.8298810045831606,5703977.834
WV,0.03389830508474576,0.9661016949152542,0.01694915254237288,0.13559322033898305,0.0,0.0,0.15254237288135594,0.6949152542372882,59.0,0.491,0.509,0.008218404259830418,0.03676916713006132,0.014696669245276838,0.002430514816030527,0.0001547539790434826,0.9377304905697574,1825051.619
WY,0.06666666666666667,0.9333333333333333,0.0,0.0,0.13333333333333333,0.13333333333333333,0.06666666666666667,0.6666666666666666,15.0,0.509,0.491,0.010131837798377345,0.015762051343247527,0.09848867372640342,0.026909772671364546,0.0012381730575081263,0.847469491403099,579757.406
UnitedStates,0.044408688656476264,0.9552695092518101,0.016733708769107,0.24086886564762672,0.16926790024135158,0.013998390989541433,0.09493161705551086,0.4640386162510056,6215.0,0.494,0.505,0.054641459765422846,0.13281123303750553,0.17446482934639762,0.012486682494791368,0.0023256012925246495,0.6232701940633577,317466931.4010001
